sim_id,strategy,topology,nodes,seed,load,policy_type,policy_param,placement_success,time_s
72,first-fit,hierarchical,20,3997,0.5,kill,0.1,0.3538888888888888,1.004
73,first-fit,hierarchical,50,42,0.0,degrade,0.4,0.0677777777777777,1.965
74,first-fit,hierarchical,50,42,0.0,degrade,0.5,0.0927777777777777,2.373
75,first-fit,hierarchical,50,42,0.0,degrade,0.6,0.1255555555555555,2.443
76,first-fit,hierarchical,50,42,0.0,kill,0.01,0.9383333333333334,3.097
77,first-fit,hierarchical,50,42,0.0,kill,0.05,0.7266666666666667,3.018
78,first-fit,hierarchical,50,42,0.0,kill,0.1,0.5627777777777778,2.68
79,first-fit,hierarchical,50,42,0.5,degrade,0.4,0.0672222222222222,2.539
80,first-fit,hierarchical,50,42,0.5,degrade,0.5,0.0894444444444444,2.517
81,first-fit,hierarchical,50,42,0.5,degrade,0.6,0.1244444444444444,3.019
82,first-fit,hierarchical,50,42,0.5,kill,0.01,0.8816666666666667,3.299
83,first-fit,hierarchical,50,42,0.5,kill,0.05,0.5655555555555556,3.488
84,first-fit,hierarchical,50,42,0.5,kill,0.1,0.4555555555555555,2.886
85,first-fit,hierarchical,50,3997,0.0,degrade,0.4,0.0666666666666666,1.949
86,first-fit,hierarchical,50,3997,0.0,degrade,0.5,0.0888888888888888,2.212
87,first-fit,hierarchical,50,3997,0.0,degrade,0.6,0.125,2.354
88,first-fit,hierarchical,50,3997,0.0,kill,0.01,0.9483333333333334,2.237
89,first-fit,hierarchical,50,3997,0.0,kill,0.05,0.75,2.596
90,first-fit,hierarchical,50,3997,0.0,kill,0.1,0.6527777777777778,2.214
91,first-fit,hierarchical,50,3997,0.5,degrade,0.4,0.0677777777777777,2.254
92,first-fit,hierarchical,50,3997,0.5,degrade,0.5,0.0894444444444444,2.094
93,first-fit,hierarchical,50,3997,0.5,degrade,0.6,0.1238888888888889,2.109
94,first-fit,hierarchical,50,3997,0.5,kill,0.01,0.8677777777777778,3.157
95,first-fit,hierarchical,50,3997,0.5,kill,0.05,0.6983333333333334,2.6
96,first-fit,hierarchical,50,3997,0.5,kill,0.1,0.5211111111111111,2.425
97,first-fit,random,20,42,0.0,degrade,0.4,0.0677777777777777,0.933
98,first-fit,random,20,42,0.0,degrade,0.5,0.09,0.917
99,first-fit,random,20,42,0.0,degrade,0.6,0.1211111111111111,0.978
100,first-fit,random,20,42,0.0,kill,0.01,0.8188888888888889,1.331
101,first-fit,random,20,42,0.0,kill,0.05,0.3872222222222222,1.23
102,first-fit,random,20,42,0.0,kill,0.1,0.3994444444444444,1.165
103,first-fit,random,20,42,0.5,degrade,0.4,0.0677777777777777,0.883
104,first-fit,random,20,42,0.5,degrade,0.5,0.0911111111111111,0.975
105,first-fit,random,20,42,0.5,degrade,0.6,0.1255555555555555,1.065
106,first-fit,random,20,42,0.5,kill,0.01,0.4072222222222222,1.392
107,first-fit,random,20,42,0.5,kill,0.05,0.3244444444444444,1.204
108,first-fit,random,20,42,0.5,kill,0.1,0.2488888888888888,1.05
109,first-fit,random,20,3997,0.0,degrade,0.4,0.0677777777777777,0.788
110,first-fit,random,20,3997,0.0,degrade,0.5,0.0911111111111111,0.87
111,first-fit,random,20,3997,0.0,degrade,0.6,0.1255555555555555,0.784
112,first-fit,random,20,3997,0.0,kill,0.01,0.7627777777777778,1.169
113,first-fit,random,20,3997,0.0,kill,0.05,0.6144444444444445,1.025
114,first-fit,random,20,3997,0.0,kill,0.1,0.5661111111111111,0.981
115,first-fit,random,20,3997,0.5,degrade,0.4,0.0672222222222222,0.857
116,first-fit,random,20,3997,0.5,degrade,0.5,0.0894444444444444,0.956
117,first-fit,random,20,3997,0.5,degrade,0.6,0.125,0.999
118,first-fit,random,20,3997,0.5,kill,0.01,0.5988888888888889,1.222
119,first-fit,random,20,3997,0.5,kill,0.05,0.32,1.174
120,first-fit,random,20,3997,0.5,kill,0.1,0.3755555555555555,1.124
121,first-fit,random,50,42,0.0,degrade,0.4,0.0683333333333333,2.116
122,first-fit,random,50,42,0.0,degrade,0.5,0.0922222222222222,2.239
123,first-fit,random,50,42,0.0,degrade,0.6,0.1255555555555555,2.662
124,first-fit,random,50,42,0.0,kill,0.01,0.9116666666666666,2.932
125,first-fit,random,50,42,0.0,kill,0.05,0.6916666666666667,2.802
126,first-fit,random,50,42,0.0,kill,0.1,0.6116666666666667,2.657
127,first-fit,random,50,42,0.5,degrade,0.4,0.0672222222222222,2.41
128,first-fit,random,50,42,0.5,degrade,0.5,0.0888888888888888,2.71
129,first-fit,random,50,42,0.5,degrade,0.6,0.1244444444444444,3.156
130,first-fit,random,50,42,0.5,kill,0.01,0.7822222222222223,3.17
131,first-fit,random,50,42,0.5,kill,0.05,0.6522222222222223,3.224
132,first-fit,random,50,42,0.5,kill,0.1,0.5566666666666666,3.071
133,first-fit,random,50,3997,0.0,degrade,0.4,0.0666666666666666,1.921
134,first-fit,random,50,3997,0.0,degrade,0.5,0.0888888888888888,2.242
135,first-fit,random,50,3997,0.0,degrade,0.6,0.125,2.127
136,first-fit,random,50,3997,0.0,kill,0.01,0.9433333333333334,2.257
137,first-fit,random,50,3997,0.0,kill,0.05,0.74,2.285
138,first-fit,random,50,3997,0.0,kill,0.1,0.5666666666666667,2.385
139,first-fit,random,50,3997,0.5,degrade,0.4,0.0677777777777777,2.007
140,first-fit,random,50,3997,0.5,degrade,0.5,0.0894444444444444,2.021
141,first-fit,random,50,3997,0.5,degrade,0.6,0.1238888888888889,2.109
142,first-fit,random,50,3997,0.5,kill,0.01,0.8005555555555556,2.718
143,first-fit,random,50,3997,0.5,kill,0.05,0.66,2.736
144,first-fit,random,50,3997,0.5,kill,0.1,0.5522222222222222,2.67
145,best-fit,star,20,42,0.0,degrade,0.4,0.0172222222222222,0.808
146,best-fit,star,20,42,0.0,degrade,0.5,0.0205555555555555,0.929
147,best-fit,star,20,42,0.0,degrade,0.6,0.0288888888888888,0.96
148,best-fit,star,20,42,0.0,kill,0.01,0.235,1.449
149,best-fit,star,20,42,0.0,kill,0.05,0.3166666666666666,1.087
150,best-fit,star,20,42,0.0,kill,0.1,0.2227777777777777,1.201
151,best-fit,star,20,42,0.5,degrade,0.4,0.0116666666666666,0.882
152,best-fit,star,20,42,0.5,degrade,0.5,0.0222222222222222,0.93
153,best-fit,star,20,42,0.5,degrade,0.6,0.0227777777777777,0.937
154,best-fit,star,20,42,0.5,kill,0.01,0.1922222222222222,1.254
155,best-fit,star,20,42,0.5,kill,0.05,0.17,1.253
156,best-fit,star,20,42,0.5,kill,0.1,0.1688888888888889,0.992
157,best-fit,star,20,3997,0.0,degrade,0.4,0.0188888888888888,0.795
158,best-fit,star,20,3997,0.0,degrade,0.5,0.0344444444444444,0.875
159,best-fit,star,20,3997,0.0,degrade,0.6,0.0788888888888888,0.847
160,best-fit,star,20,3997,0.0,kill,0.01,0.4566666666666666,1.193
161,best-fit,star,20,3997,0.0,kill,0.05,0.3822222222222222,1.153
162,best-fit,star,20,3997,0.0,kill,0.1,0.2844444444444444,1.11
163,best-fit,star,20,3997,0.5,degrade,0.4,0.0177777777777777,0.817
164,best-fit,star,20,3997,0.5,degrade,0.5,0.0222222222222222,0.971
165,best-fit,star,20,3997,0.5,degrade,0.6,0.0316666666666666,0.873
166,best-fit,star,20,3997,0.5,kill,0.01,0.3166666666666666,1.174
167,best-fit,star,20,3997,0.5,kill,0.05,0.2805555555555555,1.156
168,best-fit,star,20,3997,0.5,kill,0.1,0.1761111111111111,1.081
169,best-fit,star,50,42,0.0,degrade,0.4,0.0016666666666666,1.509
170,best-fit,star,50,42,0.0,degrade,0.5,0.0,1.693
171,best-fit,star,50,42,0.0,degrade,0.6,0.0266666666666666,1.651
172,best-fit,star,50,42,0.0,kill,0.01,0.5061111111111111,2.3
173,best-fit,star,50,42,0.0,kill,0.05,0.2133333333333333,2.361
174,best-fit,star,50,42,0.0,kill,0.1,0.1705555555555555,2.252
175,best-fit,star,50,42,0.5,degrade,0.4,0.0016666666666666,1.465
176,best-fit,star,50,42,0.5,degrade,0.5,0.0111111111111111,1.642
177,best-fit,star,50,42,0.5,degrade,0.6,0.0277777777777777,1.67
178,best-fit,star,50,42,0.5,kill,0.01,0.2566666666666666,2.698
179,best-fit,star,50,42,0.5,kill,0.05,0.0627777777777777,2.152
180,best-fit,star,50,42,0.5,kill,0.1,0.0688888888888888,2.441
181,best-fit,star,50,3997,0.0,degrade,0.4,0.0127777777777777,1.368
182,best-fit,star,50,3997,0.0,degrade,0.5,0.0216666666666666,1.439
183,best-fit,star,50,3997,0.0,degrade,0.6,0.0311111111111111,1.512
184,best-fit,star,50,3997,0.0,kill,0.01,0.4344444444444444,2.119
185,best-fit,star,50,3997,0.0,kill,0.05,0.3433333333333333,2.079
186,best-fit,star,50,3997,0.0,kill,0.1,0.2783333333333333,2.006
